Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,066006,1972,400.7,110.3,201.0,70.6,96.3,112.0,4.1,34.9,11.1,170.0,63.5,42.8,1317.3
IDCJAC0001,066006,1973,279.8,351.1,108.5,77.4,28.5,73.8,107.6,91.2,72.6,178.6,121.8,33.4,1524.3
IDCJAC0001,066006,1974,200.6,44.0,284.6,164.6,229.5,220.5,17.4,175.8,46.4,74.7,115.2,33.4,1606.7
IDCJAC0001,066006,1975,47.6,140.0,388.6,78.0,18.6,379.2,49.0,25.8,49.6,115.0,32.2,37.4,1361.0
IDCJAC0001,066006,1976,293.6,221.0,304.3,50.8,22.9,155.4,153.4,38.0,135.4,286.0,112.6,23.6,1797.0
IDCJAC0001,066006,1977,99.0,174.4,256.8,25.8,133.2,111.4,10.0,20.6,49.0,20.0,36.0,30.8,967.0
IDCJAC0001,066006,1978,225.4,15.4,250.2,141.0,118.2,301.8,19.4,37.2,113.6,88.3,96.8,93.0,1500.3
IDCJAC0001,066006,1979,122.1,16.1,200.2,24.6,121.2,169.4,26.4,9.2,28.0,50.0,91.8,2.6,861.6
IDCJAC0001,066006,1980,169.7,81.4,76.2,22.6,132.1,47.4,52.4,14.8,5.5,34.1,41.2,50.2,727.6
IDCJAC0001,066006,1981,64.4,208.0,38.2,133.4,90.0,43.4,39.8,10.4,4.0,244.0,126.8,66.2,1068.6
IDCJAC0001,066006,1982,51.2,31.4,164.8,20.2,15.8,125.4,160.8,23.9,208.5,51.2,20.0,22.2,895.4
IDCJAC0001,066006,1983,42.6,50.2,310.2,157.8,203.2,78.6,40.6,145.4,46.6,158.0,35.0,103.2,1371.4
IDCJAC0001,066006,1984,191.2,130.5,276.6,100.6,142.5,89.8,150.8,8.8,52.4,54.0,517.3,97.9,1812.4
